Date,Open,High,Low,Close,Adj Close,Volume
2019-03-18,62.388760,64.387199,62.263855,63.700233,62.534439,14675056
2019-03-19,63.825138,64.574554,63.325527,63.637783,62.473125,8755779
2019-03-20,63.263077,64.512100,63.200626,63.825138,62.657059,7745246
2019-03-21,63.700233,64.512100,63.263077,64.137390,62.963596,8089339
2019-03-22,63.825138,63.950039,61.951599,62.326309,61.185665,13060355
2019-03-25,62.201405,63.263077,61.264637,61.701794,60.572567,7962648
2019-03-26,62.138954,63.387978,62.014053,63.075722,61.921345,7625921
2019-03-27,62.950821,63.575333,61.826698,62.201405,61.063038,8830622
2019-03-28,62.201405,62.513660,61.202187,61.764248,60.633884,7237554
2019-03-29,62.326309,62.638565,61.951599,62.388760,61.246971,7769121
2019-04-01,62.576111,63.263077,62.451210,63.075722,61.921345,8221778
2019-04-02,62.825916,64.199844,62.701015,63.950039,62.779663,8286181
2019-04-03,64.074944,64.199844,62.451210,63.075722,61.921345,8989337
2019-04-04,63.075722,63.200626,62.263855,62.638565,61.492191,6570585
2019-04-05,62.888367,63.325527,62.326309,62.513660,61.369583,6926559
2019-04-08,59.391102,59.578453,57.142857,59.266197,58.181553,28183313
2019-04-09,58.391880,58.766590,56.955505,57.580017,56.526222,13317708
2019-04-10,57.767368,57.829819,56.705700,57.205307,56.158371,8626158
2019-04-11,56.955505,57.829819,56.830601,56.955505,55.913143,8777220
2019-04-12,57.142857,57.517563,56.143639,56.206089,55.177437,10962350
2019-04-15,56.268539,56.518345,54.894615,56.081188,55.054836,13281840
2019-04-16,56.455894,57.392662,56.143639,57.080406,56.035763,9645290
2019-04-17,57.205307,57.330212,56.580795,56.955505,55.913143,7696424
2019-04-18,57.017956,58.391880,56.830601,58.391880,57.323227,8247895
2019-04-22,57.767368,58.391880,57.330212,58.204529,57.139313,10747990
2019-04-23,58.079624,58.516785,57.580017,58.266979,57.200619,6485799
2019-04-24,58.142078,58.391880,57.517563,58.204529,57.139313,4609214
2019-04-25,57.580017,57.642467,56.081188,56.955505,55.913143,9988277
2019-04-26,56.955505,59.890709,56.893051,59.765808,58.672012,11895638
2019-04-29,59.765808,60.827480,59.578453,60.765026,59.652943,10569771
2019-04-30,63.887589,65.761124,62.201405,63.512882,62.350517,28371828
2019-05-01,63.387978,65.074158,63.013271,63.075722,61.921345,15912326
2019-05-02,63.387978,64.949257,62.950821,64.012489,62.840973,12686031
2019-05-03,64.324745,65.573769,63.950039,65.573769,64.373688,11019082
2019-05-06,63.950039,65.511322,63.762684,65.136612,63.944515,6986542
2019-05-07,64.574554,64.699455,62.825916,63.138172,61.982666,9110184
2019-05-08,62.950821,64.012489,62.950821,63.450428,62.289200,7581807
2019-05-09,63.138172,63.762684,62.576111,62.701015,61.553509,9527405
2019-05-10,62.576111,63.575333,61.014832,63.263077,62.105270,10108723
2019-05-13,61.514442,62.888367,61.327087,61.639343,60.511265,9629277
2019-05-14,62.076504,64.637001,61.889149,64.449646,63.270126,11292095
2019-05-15,63.387978,64.886810,63.200626,64.074944,62.902290,8601339
2019-05-16,63.825138,64.262299,62.825916,63.263077,62.105270,8727693
2019-05-17,62.513660,63.450428,62.326309,62.451210,61.308266,5934633
2019-05-20,61.889149,62.825916,61.077282,61.701794,60.572567,8359662
2019-05-21,62.201405,62.201405,61.202187,62.201405,61.063038,9673696
2019-05-22,62.138954,63.200626,61.701794,61.826698,60.695183,8269512
2019-05-23,61.264637,61.389538,59.141296,59.703358,58.610703,9101745
2019-05-24,60.078064,60.452770,58.953941,59.016392,57.936317,7611238
2019-05-28,58.766590,59.578453,57.892273,58.454334,57.384544,11562898
2019-05-29,58.142078,58.641685,57.142857,58.516785,57.445847,7139654
2019-05-30,58.516785,59.391102,58.017174,59.141296,58.058937,8091340
2019-05-31,58.329430,59.141296,58.079624,58.953941,57.875011,7419856
2019-06-03,58.079624,59.578453,57.767368,59.516003,58.426773,7569749
